Date,Buy & hold SPY,Target 12% via Trailing 22d,Target 12% via HAR,"Target 12% via GARCH(1,1)",Target 12% via XGBoost,Target 12% via Combo
2020-06-19,3.7562122,3.9684190768020717,3.5603878860187836,3.3405322422738895,2.867997,3.2532196372511737
2020-06-26,3.9690304,4.065431511547161,3.66704191323359,3.4385722674752763,2.951615,3.349150237349958
2020-07-06,3.941365,4.0535444221259285,3.6540331721052386,3.4235799196043004,2.940461,3.3361612130098055
2020-07-13,4.060041,4.106583089500955,3.7081635940375683,3.500142570974862,2.9862194,3.3938123872697585
2020-07-20,4.0462694,4.0971488409437455,3.6997034778491216,3.4901662446948367,2.9791946,3.385386241158588
2020-07-27,4.1159983,4.1485637450366175,3.748924923208494,3.542369204409506,3.017453,3.4316695690567243
2020-08-03,4.200875,4.225141025595066,3.8054744555868396,3.606558744395414,3.0643585,3.487259510565051
2020-08-10,4.2301674,4.255100746222642,3.829197042958453,3.6313116293381933,3.079103,3.50788191288359
2020-08-17,4.2928877,4.32433442274232,3.8839831660206925,3.683079677268508,3.1134417,3.5540258697342275
2020-08-24,4.3728805,4.417772499879737,3.94774977329471,3.7491092452860166,3.155051,3.6101292668752123
2020-08-31,4.17133,4.163673926818676,3.750266910232159,3.579282457695363,3.0557215,3.4604209638879158
2020-09-08,4.25846,4.219899555714723,3.791592721787687,3.615589637744527,3.0858247,3.4961626762397304
2020-09-15,4.1514525,4.156911753842549,3.7350941651148544,3.5607556346566893,3.0354788,3.442150106275971
2020-09-22,4.1774707,4.171522478346907,3.7480627125691517,3.576374128902471,3.046428,3.45527794688119
2020-09-29,4.209647,4.187805935822731,3.765423255089154,3.5942393596752735,3.0609944,3.4718876931176816
2020-10-06,4.4006915,4.294365193388053,3.8563609740331257,3.70141467767434,3.1326704,3.5609231876574916
2020-10-13,4.315853,4.242612044846844,3.803718382488769,3.6523427974920657,3.0858433,3.5113014122630664
2020-10-20,4.2509975,4.201945548975948,3.7664502440065535,3.6088246442399945,3.0533905,3.473749746327036
2020-10-27,4.223472,4.1824047182956665,3.7472518934710806,3.5903730778993093,3.040243,3.4570108781205735
2020-11-03,4.4498353,4.3109570066825755,3.8468122926682646,3.697575267207174,3.1158824,3.55043583804921
2020-11-10,4.5325375,4.356639018864094,3.881393908522729,3.741014700770657,3.1445837,3.585621645386116
2020-11-17,4.565216,4.374129480991036,3.897412313247864,3.760108730243692,3.1583986,3.6018395809108803
2020-11-24,4.610087,4.397482908267334,3.920232049046781,3.7864667090237543,3.1773808,3.6244291058743356
2020-12-02,4.610842,4.397850761437626,3.920596992888566,3.786888974083009,3.1776888,3.624792354148353
2020-12-09,4.65257,4.4340564408041105,3.9486724087529845,3.817876530717487,3.1993291,3.651478810755393
2020-12-16,4.639583,4.42134960433342,3.938056680430792,3.808357161435354,3.1930168,3.6428753761421855
2020-12-23,4.7192307,4.511943101607295,3.9863341406230792,3.8746025607379875,3.2265482,3.690588985579077
2020-12-31,4.8123837,4.633068225129009,4.0560849758123565,3.9515223686426975,3.2745867,3.7544124180217415
2021-01-08,4.742203,4.5570009597166905,4.01593760942144,3.9051366001721544,3.2404034,3.714376125347118
2021-01-15,4.85189,4.6748704403146695,4.085728043963957,3.988248075274804,3.28642,3.7789980868995645
2021-01-25,4.7488933,4.565820724787251,4.0179410062934275,3.9107589608442406,3.2428076,3.717654741888361
2021-02-01,4.9291396,4.693182404676734,4.113633972680986,3.9958972060885545,3.303389,3.7969063527124094
2021-02-08,4.9517326,4.7087055549870485,4.128779281841428,4.0092162364196176,3.3145366,3.8100413812966485
2021-02-16,4.8911467,4.664458283820811,4.083917130324411,3.962522893615347,3.2836328,3.7697781656997877
2021-02-23,4.8790283,4.65501767611122,4.077061450379613,3.952670905515142,3.2785988,3.762805409637918
2021-03-02,4.886981,4.660228078319606,4.0816472663667565,3.9562176155748765,3.28199,3.7666788539714258
2021-03-09,4.9972982,4.735634592584123,4.133356327520248,4.0116680495817,3.3212135,3.8150954808299247
2021-03-16,4.9324913,4.692535746367775,4.092467558020862,3.968518940999093,3.2915883,3.7776030571291415
2021-03-23,4.998724,4.734249652765063,4.129788545334254,4.012585528624513,3.3205242,3.813943301924766
2021-03-30,5.1489134,4.837547211506935,4.222394100006823,4.115068734452763,3.3887563,3.9006954125530253
2021-04-07,5.2104597,4.891798523798881,4.27638554201318,4.157274890173753,3.4173684,3.941043291468649
2021-04-14,5.2689676,4.949256429134221,4.330203764028676,4.202766439023503,3.446859,3.982787315700956
2021-04-21,5.285808,4.9656399954014665,4.344915439175235,4.2144912132738375,3.4549108,3.993971319502086
2021-04-28,5.2649126,4.942775959404854,4.323748932551699,4.198634121781131,3.444589,3.978803722128305
2021-05-05,5.133971,4.780321832280557,4.2116566765688095,4.095258375684925,3.3801758,3.8878971899382755
2021-05-12,5.202988,4.8408406746323225,4.255151894149101,4.131136254099725,3.40439,3.921544303203665
2021-05-19,5.3069553,4.924087546767102,4.318577100563403,4.194251613224442,3.4518232,3.9791785518215916
2021-05-26,5.303157,4.920905060675748,4.315277591568296,4.191494275488901,3.4498909,3.976569109769704
2021-06-03,5.3644485,4.972859769786066,4.35956071966899,4.241038603557502,3.4799736,4.017143896616754
2021-06-10,5.343681,4.9543006889015135,4.3430565907377945,4.2241675875966544,3.4690852,4.0026338252578775
2021-06-17,5.40093,5.033383715239282,4.3931281596299385,4.272052295697947,3.4981754,4.043914839585251
2021-06-24,5.4686484,5.122387623904518,4.453156563000213,4.318949097938292,3.536685,4.091780344248079
2021-07-01,5.533317,5.205583411780932,4.530578790824531,4.369842303767053,3.5734224,4.144406358472755
2021-07-09,5.4802103,5.143546349597591,4.489073749837806,4.332845472257776,3.5480683,4.11045293516085
2021-07-16,5.5894732,5.265750153233029,4.585763232968331,4.414886816592592,3.60671,4.188099172916336
2021-07-23,5.5713058,5.246802423392462,4.5727340643608665,4.40341368935793,3.597477,4.176944881993026
2021-07-30,5.621871,5.298878757818923,4.612594733552775,4.441208976334745,3.6240149,4.211206159916911
2021-08-06,5.6654496,5.343118136409475,4.653979883511429,4.474766294458038,3.6506698,4.244598037466769
2021-08-13,5.632924,5.306692954237582,4.615643870293185,4.447381779175449,3.6319227,4.217583020802123
2021-08-20,5.7204633,5.4288784676558945,4.6939560411510755,4.510962327482098,3.6780202,4.278940655972807
2021-08-27,5.756418,5.476944372626176,4.730726154762914,4.536784918453639,3.6985505,4.3059124373450395
2021-09-03,5.6738358,5.3589870303855625,4.63703995500797,4.469046495647783,3.6496625,4.238085039402176
2021-09-13,5.5321803,5.161711097768887,4.52068152105627,4.356518827211358,3.5747807,4.138533465776935
2021-09-20,5.641794,5.283960049263801,4.588510368791181,4.421120347602642,3.6188588,4.196468569640001
2021-09-27,5.463353,5.094496127347084,4.4482582056640165,4.301417174830336,3.5164697,4.076410588340153
2021-10-04,5.540465,5.155697284980532,4.4942166627649875,4.342861986983897,3.5437915,4.113833988218324
2021-10-11,5.6997867,5.2752469528049755,4.590790665689354,4.445656270819573,3.617513,4.204145097577632
2021-10-18,5.8063416,5.351057638877705,4.66108206727836,4.5137586884076475,3.672239,4.268270660862601
2021-10-25,5.86357,5.397448036098566,4.706309423958302,4.555894243230184,3.6984375,4.305224036250886
2021-11-01,5.976881,5.506005043320036,4.799894912993394,4.643281581500116,3.7663171,4.387577353832293
2021-11-08,5.957762,5.482736182607947,4.7808419058270015,4.627974499271225,3.755418,4.3728738828664975
2021-11-15,5.9595466,5.484985772334815,4.78250977599785,4.6293373317123985,3.7563126,4.374143744286435
2021-11-22,5.8064685,5.2736530735407525,4.651367404946987,4.5039175321271365,3.6820784,4.2670667943378175
2021-11-30,5.968595,5.416542317086605,4.751031545229486,4.58178081422718,3.747713,4.347127935463557
2021-12-07,5.9058847,5.3735915838687145,4.722126337798097,4.552987897748645,3.720256,4.31872133999951
2021-12-14,5.9227977,5.384673991199741,4.731696752797277,4.562895088943932,3.7287328,4.328040190291649
2021-12-21,6.107237,5.49002803948234,4.822717856889149,4.656836698331972,3.8010445,4.41343379911864
2021-12-29,5.990844,5.422127634053713,4.739403358089616,4.584617481496174,3.731668,4.338520643408363
2022-01-05,6.0246096,5.443973679230114,4.761464218253127,4.603478648971808,3.7431746,4.355433136012395
2022-01-12,5.7141833,5.212786859290707,4.568186972062985,4.389029725493622,3.598005,4.173144250614915
2022-01-20,5.515802,5.070581150513155,4.469737716877219,4.278326036354857,3.5209608,4.078569233970798
2022-01-27,5.7122645,5.21859589481214,4.541909801364016,4.3981431846320085,3.5786364,4.158105898099378
2022-02-03,5.747055,5.237567617855656,4.555692170185114,4.412910331735563,3.5921316,4.172246085852926
2022-02-10,5.590243,5.154145984915421,4.495687458542217,4.337805392900004,3.5367112,4.109183999713533
2022-02-17,5.5990667,5.158547056512992,4.499222988129053,4.3418075021454445,3.5399399,4.112783332000537
2022-02-25,5.527695,5.124163481759224,4.470478984211769,4.311223681525163,3.5130467,4.0840337494449415
2022-03-04,5.37293,5.0463301141616865,4.402600607038036,4.230354733274285,3.4598496,4.01758503038736
2022-03-11,5.703322,5.196660359789415,4.540602642899888,4.377518388420442,3.5753522,4.150738189921566
2022-03-18,5.808146,5.2426115620328755,4.58766244838302,4.424146799933734,3.6177611,4.196147964286039
2022-03-25,5.811096,5.243922767790281,4.589115134705189,4.425601920209586,3.6190057,4.197530950704072
2022-04-01,5.7424545,5.21018615579993,4.551429460232959,4.38612025232008,3.5860279,4.160845235143048
2022-04-08,5.619283,5.136134111358715,4.480252309607075,4.307087374886943,3.5313199,4.0932234481139
2022-04-18,5.497909,5.053642370607899,4.404097197645577,4.233493794885514,3.4793699,4.02683456833061
2022-04-25,5.317899,4.946312064103333,4.313827218289017,4.1509918175301594,3.4109793,3.9468008696125954
2022-05-02,5.108638,4.852695021405474,4.224574713068222,4.078939114171015,3.3538637,3.875030030259293
2022-05-09,5.133271,4.861773952529116,4.234199428045539,4.08643945454424,3.3595219,3.8824667118934735
2022-05-16,5.0926003,4.847003381898,4.217885283777157,4.0689166907804,3.3458612,3.8666797437934184
2022-05-23,5.298013,4.9149176900953435,4.293202372080215,4.149368592733079,3.413041,3.940959159333028
2022-05-31,5.334066,4.927224711139264,4.307884147189792,4.164922922681941,3.4264987,3.9555303628191574
2022-06-07,4.796861,4.706613983259818,4.088602640002881,3.890806143547786,3.2324862,3.7282634505956254
2022-06-14,4.824283,4.717180362382938,4.099827115755042,3.9001745934756435,3.2377775,3.7365227698457626
2022-06-22,4.9009533,4.748232615636516,4.128250514457848,3.9304347656313054,3.2626843,3.76438140023991
2022-06-29,5.0124145,4.791122337995676,4.182842009151664,3.9792577805712437,3.30268,3.811915946035864
2022-07-07,4.8696404,4.733515411824154,4.121781178979015,3.9005513036502917,3.2550495,3.75064254627375
2022-07-14,5.1386952,4.856928622790504,4.2300801394188845,4.083144594430669,3.3386385,3.8692455093550486
2022-07-21,5.2325034,4.906082992502372,4.274204126013079,4.130544273279814,3.3750353,3.9117792497722927
2022-07-28,5.3368764,4.965464026700898,4.323298078157261,4.178986306268957,3.4117918,3.956229809368087
2022-08-04,5.4118714,5.008489403108613,4.368127299267066,4.221255192359442,3.4425547,3.9950619328272676
2022-08-11,5.5136695,5.066522806854703,4.418176360467768,4.280163422054171,3.4848723,4.045124027720627
2022-08-18,5.4056864,4.996112107879542,4.3490283415242645,4.208408920727683,3.4374363,3.9832900200833503
2022-08-25,5.1081543,4.81710899344599,4.171105137659704,4.042361729947836,3.3115861,3.8281359019458443
2022-09-01,5.2393327,4.893266355625273,4.242040527207542,4.111733018552128,3.3596792,3.890088180548923
2022-09-09,4.988626,4.758121912392092,4.106087471765897,3.9802480799923594,3.2480881,3.7640124034296596
2022-09-16,4.760775,4.65254326571838,3.998308463343221,3.882559528333165,3.1768365,3.6730120301893936
2022-09-23,4.621427,4.587451811976836,3.933382275915194,3.8140706629360417,3.1276717,3.6126828422263655
2022-09-30,4.694013,4.623142642413321,3.9652578009179322,3.847986500834356,3.1482327,3.6408467646218803
2022-10-07,4.6272483,4.595462466377055,3.940492656257369,3.8226527131001387,3.1288416,3.6178198050766723
2022-10-14,4.8428073,4.6928920576219735,4.0222822345095395,3.9099956014482498,3.1883457,3.6931398514450153
2022-10-21,5.0333934,4.7719746111383605,4.0919824602031785,3.9903580422007328,3.2509043,3.763748695649119
2022-10-28,4.869461,4.706329269308899,4.021126641907193,3.917506671136922,3.192852,3.696731703395653
2022-11-04,5.156182,4.835606430339121,4.125059342152027,4.046408974878961,3.2784111,3.8015422868707223
2022-11-11,5.1240935,4.823794045224619,4.112944646658114,4.0372483948803275,3.2677116,3.790996075431307
2022-11-18,5.12254,4.823099300075192,4.112237049767932,4.036329239901203,3.267197,3.7902938080749298
2022-11-28,5.170154,4.843873584421967,4.135204572669008,4.061421676511656,3.284986,3.812047368069957
2022-12-05,5.161875,4.840274384024213,4.1315004530024835,4.057616294733651,3.2819254,3.808536127169558
2022-12-12,4.9395247,4.740676952584469,4.011914882641456,3.9410449517657296,3.2011328,3.70435524761572
2022-12-19,4.9574614,4.751204633756191,4.020207447498963,3.949892807666311,3.207206,3.7120046392029846
2022-12-27,4.9881372,4.768823811218516,4.036092687961528,3.967579716078711,3.2180736,3.7265325746821185
2023-01-04,5.140994,4.866207517099628,4.107084345334167,4.059563098959532,3.2707663,3.796717830726665
2023-01-11,5.0515676,4.812055438525397,4.06134988635217,4.011923349823912,3.2344403,3.753768292213401
2023-01-19,5.260967,4.955146607190877,4.17675094732203,4.135661959233441,3.3185074,3.8601810401630825
2023-01-26,5.4173336,5.061689672453802,4.258849293139981,4.227400541565831,3.3811347,3.9381184493093975
2023-02-02,5.291382,4.9793603157640325,4.197333221021282,4.16224965778778,3.3309216,3.8794548791654653
2023-02-09,5.30685,4.98994451326824,4.204987919039294,4.1708684673746,3.3367734,3.8867633523228524
2023-02-16,5.152173,4.88618141123248,4.127451473334329,4.079118836906138,3.2681348,3.807929406894886
